t,p
0,0.0
1,0.04065797923122573
2,0.2511067089894138
3,0.32391493647715625
4,0.22005953837821576
5,0.10521242236547622
6,0.040279327505585195
7,0.01322804390849306
8,0.0038829409738855105
9,0.0010461490846303257
10,0.00026342498603792894
11,6.279994757523652e-5
12,1.4310061884965057e-5
13,3.1394123926785374e-6
14,6.668440546785744e-7
15,1.377548961683762e-7
16,2.7775302612398543e-8
17,5.482230456481066e-9
18,1.0618445560629594e-9
19,2.022350299117057e-10
20,3.79396819624731e-11
21,7.021227922673913e-12
22,1.2834098152249116e-12
23,2.319678855299044e-13
24,4.149702304024983e-14
25,7.353564864044973e-15
26,1.2917936732282158e-15
27,2.2510671085296613e-16
28,3.8934842594732465e-17
29,6.687609556279562e-18
30,1.141275615877588e-18
31,1.935895054244062e-19
32,3.2652139912822905e-20
33,5.4781202800534136e-21
34,9.144911192985744e-22
35,1.5194323707091832e-22
36,2.5133472970693533e-23
37,4.139984315536266e-24
38,6.7923068539308945e-25
39,1.1101919402995103e-25
40,1.8081062813751211e-26
41,2.9347543067192164e-27
42,4.748021699405268e-28
43,7.657958497505101e-29
44,1.2314997698486404e-29
45,1.9748502307250285e-30
46,3.1583932096260756e-31
47,5.038261043191914e-32
48,8.017235305581763e-33
49,1.2727474659839977e-33
50,2.015927785782492e-34
51,3.1861177991915133e-35
52,5.025040325673553e-36
53,7.909386081742941e-37
54,1.2425223096851655e-37
55,1.9482949542148725e-38
56,3.04946414317634e-39
57,4.764730526959189e-40
58,7.432336640733817e-41
59,1.1574693515653858e-41
60,1.7997590080080526e-42
61,2.7942315778595553e-43
62,4.331865689267821e-44
63,6.706137456461929e-45
64,1.0367503151564143e-45
65,1.60065830309909e-46
66,2.4681039424024405e-47
67,3.800891305626065e-48
68,5.846295048579149e-49
69,8.981826525661523e-50
70,1.3783260569339512e-50
71,2.112791931404623e-51
72,3.2351353171306134e-52
73,4.94848285044642e-53
74,7.561500712144292e-54
75,1.1542825923675915e-54
76,1.7603375543440985e-55
77,2.6820718694697644e-56
78,4.08268695820213e-57
79,6.209163927546934e-58
80,9.434987326412174e-59
81,1.4324520073577662e-59
82,2.172993712383626e-60
83,3.2937089937839466e-61
84,4.988486152796934e-62
85,7.549483309745834e-63
86,1.1416643481620764e-63
87,1.7252020565037098e-64
88,2.6051283235657626e-65
89,3.931089749431441e-66
90,5.9278650140214667e-67
91,8.932885279486365e-68
92,1.3452397531619367e-68
93,2.02454897582259e-69
94,3.0449734884146676e-70
95,4.5768972611203516e-71
96,6.875382041297783e-72
97,1.0322050043138043e-72
98,1.5487588498234007e-73
99,2.3224985951806737e-74
100,3.4808546246043745e-75
